season,association_code,country,competition,competition_level,team,league_size,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,points_per_game,goal_difference_per_game,ppg_percentile,percentile_basis,table_basis,source,source_ref,source_path,source_git_blob_sha,source_file_sha256
2022-23,ENG,England,Premier League,1,Arsenal FC,20,38,26,6,6,88,43,45,84,2.210526315789474,1.1842105263157894,0.9473684210526315,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2022-23/1-premierleague.txt,2022-23/1-premierleague.txt,3ef9d512d2150732c18ff6e39c9d7b20f446a050,c85a2f8ac64975435b8359eb923eaa09e48f33d47672c8b32d2c6e99a8cec5f0
2022-23,ENG,England,Premier League,1,Manchester United FC,20,38,23,6,9,58,43,15,75,1.9736842105263157,0.39473684210526316,0.8947368421052632,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2022-23/1-premierleague.txt,2022-23/1-premierleague.txt,3ef9d512d2150732c18ff6e39c9d7b20f446a050,c85a2f8ac64975435b8359eb923eaa09e48f33d47672c8b32d2c6e99a8cec5f0
2022-23,ENG,England,Premier League,1,Newcastle United FC,20,38,19,14,5,68,33,35,71,1.868421052631579,0.9210526315789473,0.8421052631578947,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2022-23/1-premierleague.txt,2022-23/1-premierleague.txt,3ef9d512d2150732c18ff6e39c9d7b20f446a050,c85a2f8ac64975435b8359eb923eaa09e48f33d47672c8b32d2c6e99a8cec5f0
2022-23,ENG,England,Premier League,1,Liverpool FC,20,38,19,10,9,75,47,28,67,1.763157894736842,0.7368421052631579,0.7894736842105263,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2022-23/1-premierleague.txt,2022-23/1-premierleague.txt,3ef9d512d2150732c18ff6e39c9d7b20f446a050,c85a2f8ac64975435b8359eb923eaa09e48f33d47672c8b32d2c6e99a8cec5f0
2022-23,ENG,England,Premier League,1,Brighton & Hove Albion FC,20,38,18,8,12,72,53,19,62,1.631578947368421,0.5,0.7368421052631579,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2022-23/1-premierleague.txt,2022-23/1-premierleague.txt,3ef9d512d2150732c18ff6e39c9d7b20f446a050,c85a2f8ac64975435b8359eb923eaa09e48f33d47672c8b32d2c6e99a8cec5f0
2022-23,ENG,England,Premier League,1,Aston Villa FC,20,38,18,7,13,51,46,5,61,1.605263157894737,0.13157894736842105,0.6842105263157895,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2022-23/1-premierleague.txt,2022-23/1-premierleague.txt,3ef9d512d2150732c18ff6e39c9d7b20f446a050,c85a2f8ac64975435b8359eb923eaa09e48f33d47672c8b32d2c6e99a8cec5f0
2022-23,ENG,England,Premier League,1,Tottenham Hotspur FC,20,38,18,6,14,70,63,7,60,1.5789473684210527,0.18421052631578946,0.631578947368421,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2022-23/1-premierleague.txt,2022-23/1-premierleague.txt,3ef9d512d2150732c18ff6e39c9d7b20f446a050,c85a2f8ac64975435b8359eb923eaa09e48f33d47672c8b32d2c6e99a8cec5f0
2022-23,ENG,England,Premier League,1,Brentford FC,20,38,15,14,9,58,46,12,59,1.5526315789473684,0.3157894736842105,0.5789473684210527,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2022-23/1-premierleague.txt,2022-23/1-premierleague.txt,3ef9d512d2150732c18ff6e39c9d7b20f446a050,c85a2f8ac64975435b8359eb923eaa09e48f33d47672c8b32d2c6e99a8cec5f0
2022-23,ENG,England,Premier League,1,Fulham FC,20,38,15,7,16,55,53,2,52,1.368421052631579,0.05263157894736842,0.5263157894736842,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2022-23/1-premierleague.txt,2022-23/1-premierleague.txt,3ef9d512d2150732c18ff6e39c9d7b20f446a050,c85a2f8ac64975435b8359eb923eaa09e48f33d47672c8b32d2c6e99a8cec5f0
2022-23,ENG,England,Premier League,1,Crystal Palace FC,20,38,11,12,15,40,49,-9,45,1.1842105263157894,-0.23684210526315788,0.47368421052631576,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2022-23/1-premierleague.txt,2022-23/1-premierleague.txt,3ef9d512d2150732c18ff6e39c9d7b20f446a050,c85a2f8ac64975435b8359eb923eaa09e48f33d47672c8b32d2c6e99a8cec5f0
