event_id,season,player_id,player_name,from_club_id,from_club,to_club_id,to_club,semantic_type,fee_text,paired_internal_faces,source_faces
TM-2022-01075,2022/23,565162,Giacomo Fedel,410,Udinese Calcio,22344,AC Nardò,FREE_TRANSFER,free transfer,0,OUT
TM-2022-01076,2022/23,566615,Mikael Egill Ellertsson,2722,SPAL,3522,Spezia Calcio,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,0,IN
TM-2022-01077,2022/23,566615,Mikael Egill Ellertsson,3522,Spezia Calcio,607,Venezia FC,PERMANENT_OR_OTHER_EXPLICIT,€1.50m,0,OUT
TM-2022-01078,2022/23,566963,Sabino Signorile,4167,1913 Seregno Calcio,5,AC Milan,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,0,IN
TM-2022-01079,2022/23,566963,Sabino Signorile,5,AC Milan,22249,Audace Cerignola,FREE_TRANSFER,free transfer,0,OUT
TM-2022-01080,2022/23,567129,Josh Doig,903,Hibernian FC,276,Hellas Verona,PERMANENT_OR_OTHER_EXPLICIT,€3.40m,0,IN
TM-2022-01081,2022/23,567217,Ebrima Colley,3522,Spezia Calcio,800,Atalanta BC,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,1,IN+OUT
TM-2022-01082,2022/23,567217,Ebrima Colley,800,Atalanta BC,6646,Fatih Karagümrük,LOAN,Loan fee: €50k,0,OUT
TM-2022-01083,2022/23,567444,Emanuel Ercolano,1038,UC Sampdoria,4096,FC Turris 1944,LOAN,loan transfer,0,OUT
TM-2022-01084,2022/23,567444,Emanuel Ercolano,22045,Latina Calcio 1932,1038,UC Sampdoria,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,0,IN
TM-2022-01085,2022/23,567445,Marco Somma,1038,UC Sampdoria,14888,US Città di Pontedera,LOAN,loan transfer,0,OUT
TM-2022-01086,2022/23,567445,Marco Somma,12001,Sampdoria Primavera,1038,UC Sampdoria,PERMANENT_OR_OTHER_EXPLICIT,-,0,IN
TM-2022-01087,2022/23,567469,Alessandro Barbetta,6089,Casarano Calcio,6574,US Sassuolo,LOAN_RETURN_OR_END_OF_LOAN,End of loan 02/01/2023,0,IN
TM-2022-01088,2022/23,567469,Alessandro Barbetta,6574,US Sassuolo,34499,US Pianese,LOAN,loan transfer,0,OUT
TM-2022-01089,2022/23,567470,Samuel Giovane,11998,Atalanta Primavera,800,Atalanta BC,PERMANENT_OR_OTHER_EXPLICIT,-,0,IN
TM-2022-01090,2022/23,567470,Samuel Giovane,800,Atalanta BC,408,Ascoli Calcio,LOAN,loan transfer,0,OUT
TM-2022-01091,2022/23,568559,Radu Drăgușin,380,US Salernitana 1919,506,Juventus FC,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,1,IN+OUT
TM-2022-01092,2022/23,568559,Radu Drăgușin,506,Juventus FC,252,Genoa CFC,LOAN,loan transfer,0,OUT
TM-2022-01093,2022/23,569384,Lucien Agoumé,3911,Stade Brestois 29,46,Inter Milan,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,0,IN
TM-2022-01094,2022/23,569384,Lucien Agoumé,46,Inter Milan,1095,ESTAC Troyes,LOAN,loan transfer,0,OUT
TM-2022-01095,2022/23,571607,Fabio Miretti,41101,Juventus Next Gen,506,Juventus FC,PERMANENT_OR_OTHER_EXPLICIT,-,0,IN
TM-2022-01096,2022/23,572443,Bruno Conti,11676,Cagliari Primavera,276,Hellas Verona,PERMANENT_OR_OTHER_EXPLICIT,€100k,0,IN
TM-2022-01097,2022/23,572443,Bruno Conti,276,Hellas Verona,2581,Mantova 1911,LOAN,loan transfer,0,OUT
TM-2022-01098,2022/23,57354,Giuseppe Bellusci,2919,AC Monza,408,Ascoli Calcio,FREE_TRANSFER,free transfer,0,OUT
TM-2022-01099,2022/23,57354,Giuseppe Bellusci,408,Ascoli Calcio,2919,AC Monza,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,0,IN
TM-2022-01100,2022/23,573979,Tòfol Montiel,18687,CD Atlético Baleares,430,ACF Fiorentina,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,0,IN
TM-2022-01101,2022/23,573979,Tòfol Montiel,430,ACF Fiorentina,8494,RCD Mallorca B,FREE_TRANSFER,free transfer,0,OUT
TM-2022-01102,2022/23,574164,Marco Molla,1025,Bologna FC 1909,4324,Imolese Calcio 1919,LOAN,loan transfer,0,OUT
TM-2022-01103,2022/23,574495,Kristoffer Askildsen,1038,UC Sampdoria,1005,US Lecce,LOAN,loan transfer,1,IN+OUT
TM-2022-01104,2022/23,574669,Bogdan Jocic,26789,FC Pro Vercelli 1892,276,Hellas Verona,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,0,IN
TM-2022-01105,2022/23,574669,Bogdan Jocic,276,Hellas Verona,4634,FK Vozdovac,FREE_TRANSFER,free transfer,0,OUT
TM-2022-01106,2022/23,574889,Simone Ianesi,4095,AC Trento,410,Udinese Calcio,LOAN_RETURN_OR_END_OF_LOAN,End of loan 16/01/2023,0,IN
TM-2022-01107,2022/23,574889,Simone Ianesi,410,Udinese Calcio,14888,US Città di Pontedera,LOAN,loan transfer,0,OUT
TM-2022-01108,2022/23,577394,Denso Kasius,1025,Bologna FC 1909,170,Rapid Vienna,LOAN,loan transfer,0,OUT
TM-2022-01109,2022/23,577594,Blue Mamona,2239,US Cremonese,4324,Imolese Calcio 1919,LOAN,loan transfer,0,OUT
TM-2022-01110,2022/23,577594,Blue Mamona,4163,US Fiorenzuola 1922,2239,US Cremonese,LOAN_RETURN_OR_END_OF_LOAN,End of loan 14/01/2023,0,IN
TM-2022-01111,2022/23,579294,Aimar Sher,3522,Spezia Calcio,202,FC Groningen,LOAN,loan transfer,0,OUT
TM-2022-01112,2022/23,579299,Edoardo Sottini,1307,US Pistoiese 1921,46,Inter Milan,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,0,IN
TM-2022-01113,2022/23,579299,Edoardo Sottini,4271,US Triestina,46,Inter Milan,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/01/2023,0,IN
TM-2022-01114,2022/23,579299,Edoardo Sottini,46,Inter Milan,2331,US Avellino 1912,LOAN,loan transfer,0,OUT
TM-2022-01115,2022/23,579299,Edoardo Sottini,46,Inter Milan,4271,US Triestina,LOAN,loan transfer,0,OUT
TM-2022-01116,2022/23,579930,Armand Laurienté,1158,FC Lorient,6574,US Sassuolo,PERMANENT_OR_OTHER_EXPLICIT,€10.10m,0,IN
TM-2022-01117,2022/23,581672,Samuel Iling-Junior,41101,Juventus Next Gen,506,Juventus FC,PERMANENT_OR_OTHER_EXPLICIT,-,0,IN
TM-2022-01118,2022/23,582353,Mattia Zanotti,5380,Inter Milan Primavera,46,Inter Milan,PERMANENT_OR_OTHER_EXPLICIT,-,0,IN
TM-2022-01119,2022/23,583046,Medon Berisha,5618,Lecce Primavera,1005,US Lecce,PERMANENT_OR_OTHER_EXPLICIT,-,0,IN
TM-2022-01120,2022/23,586429,Ryan Flamingo,19114,Sassuolo Primavera,6574,US Sassuolo,PERMANENT_OR_OTHER_EXPLICIT,-,0,IN
TM-2022-01121,2022/23,586429,Ryan Flamingo,6574,US Sassuolo,499,Vitesse Arnhem,LOAN,loan transfer,0,OUT
